group_id,actor_name,aliases,actor_type,country_attribution,targeted_sectors,mitre_description,technique_count,tactic_count,technique_diversity_score,associated_cve_count,avg_cvss_score,max_cvss_score,kev_count,critical_vuln_ratio,kev_ratio,acled_event_count,acled_political_violence_events_total,acled_months_observed,acled_avg_monthly_political_violence_events,acled_max_monthly_political_violence_events,geo_instability_score,conflict_intensity_index,capability_score,opportunity_score,activity_score,composite_risk_score,has_country_attribution,has_targeted_sector,has_cve_mapping
G0011,PittyTiger,PittyTiger,,China,unknown,[PittyTiger](https://attack.mitre.org/groups/G0011) is a threat group believed to operate out of China that uses multiple different types of malware to maintain command and control.(Citation: Bizeul 2014)(Citation: Villeneuve 2014),2,5,0.015384615384615385,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.007692308,0.009475277,0,0.005741209,1,0,0
G0012,Darkhotel,Darkhotel; DUBNIUM; Zigzag Hail,,South Korea,Commercial Facilities; Defense Industrial Base,[Darkhotel](https://attack.mitre.org/groups/G0012) is a suspected South Korean threat group that has targeted victims primarily in East Asia since at least 2004. The group's name is based on cyber espionage operations conducted via hotel Internet networks against traveling executives and other select guests. [Darkhotel](https://attack.mitre.org/groups/G0012) has also conducted spearphishing campaigns and infected victims through peer-to-peer and file sharing networks.(Citation: Kaspersky Darkhotel)(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft Digital Defense FY20 Sept 2020),24,11,0.18461538461538463,2,9.3,9.8,2,0.5,1,40,40,57,0.7017543859649122,5,0.000133926,0.000237308,0.5779495841995842,0.000164941,0.093333333,0.31700778023252285,1,1,1
G0013,APT30,APT30,,China,Government Facilities,"[APT30](https://attack.mitre.org/groups/G0013) is a threat group suspected to be associated with the Chinese government. While [Naikon](https://attack.mitre.org/groups/G0019) shares some characteristics with [APT30](https://attack.mitre.org/groups/G0013), the two groups do not appear to be exact matches.(Citation: FireEye APT30)(Citation: Baumgartner Golovkin Naikon 2015)",2,2,0.015384615384615385,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.007692308,0.009475277,0,0.005741209,1,1,0
G0016,APT29,APT29; IRON RITUAL; IRON HEMLOCK; NobleBaron; Dark Halo; NOBELIUM; UNC2452; YTTRIUM; The Dukes; Cozy Bear; CozyDuke; SolarStorm; Blue Kitsune; UNC3524; Midnight Blizzard,State,Russia; United Kingdom,Government Facilities; NGO; Transportation Systems,"[APT29](https://attack.mitre.org/groups/G0016) is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR).(Citation: White House Imposing Costs RU Gov April 2021)(Citation: UK Gov Malign RIS Activity April 2021) They have operated since at least 2008, often targeting government networks in Europe and NATO member countries, research institutes, and think tanks. [APT29](https://attack.mitre.org/groups/G0016) reportedly compromised the Democratic National Committee starting in the summer of 2015.(Citation: F-Secure The Dukes)(Citation: GRIZZLY STEPPE JAR)(Citation: Crowdstrike DNC June 2016)(Citation: UK Gov UK Exposes Russia SolarWinds April 2021)

In April 2021, the US and UK governments attributed the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024) to the SVR; public statements included citations to [APT29](https://attack.mitre.org/groups/G0016), Cozy Bear, and The Dukes.(Citation: NSA Joint Advisory SVR SolarWinds April 2021)(Citation: UK NSCS Russia SolarWinds April 2021) Industry reporting also referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and SolarStorm.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: MSTIC NOBELIUM Mar 2021)(Citation: CrowdStrike SUNSPOT Implant January 2021)(Citation: Volexity SolarWinds)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: Unit 42 SolarStorm December 2020)",66,13,0.5076923076923077,8,9.325000000000001,10,7,0.75,0.875,39560,39560,101,391.6831683168317,1716,0.13245299191085874,0.13245299191085874,0.7088714916839917,0.13245299191085874,0.3433333333333333,0.4839263442241676,1,1,1
G0017,DragonOK,DragonOK,,Unknown,unknown,"[DragonOK](https://attack.mitre.org/groups/G0017) is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, [DragonOK](https://attack.mitre.org/groups/G0017) is thought to have a direct or indirect relationship with the threat group [Moafee](https://attack.mitre.org/groups/G0002). (Citation: Operation Quantum Entanglement) It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, PoisonIvy, FormerFirstRat, NFlog, and NewCT. (Citation: New DragonOK)",0,0,0,1,7.8,7.8,1,0,1,0,0,0,0,0,0,0,0.4476351351351351,0,0.046666667,0.23781756756756756,1,0,1
G0018,admin@338,admin@338,,China,Financial Services; Information Technology; Media,"[admin@338](https://attack.mitre.org/groups/G0018) is a China-based cyber threat group. It has previously used newsworthy events as lures to deliver malware and has primarily targeted organizations involved in financial, economic, and trade policy, typically using publicly available RATs such as [PoisonIvy](https://attack.mitre.org/software/S0012), as well as some non-public backdoors. (Citation: FireEye admin@338)",12,4,0.092307692,1,8.8,8.8,1,0,1,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.5191268191268191,0.009475277,0.046666667,0.2754584650088481,1,1,1
G0019,Naikon,Naikon,State,China,Defense Industrial Base; Government Facilities,"[Naikon](https://attack.mitre.org/groups/G0019) is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People’s Liberation Army’s (PLA) Chengdu Military Region Second Technical Reconnaissance Bureau (Military Unit Cover Designator 78020).(Citation: CameraShy) Active since at least 2010, [Naikon](https://attack.mitre.org/groups/G0019) has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme (UNDP) and the Association of Southeast Asian Nations (ASEAN).(Citation: CameraShy)(Citation: Baumgartner Naikon 2015) 

While [Naikon](https://attack.mitre.org/groups/G0019) shares some characteristics with [APT30](https://attack.mitre.org/groups/G0013), the two groups do not appear to be exact matches.(Citation: Baumgartner Golovkin Naikon 2015)",14,6,0.1076923076923077,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.053846154,0.009475277,0,0.028818132,1,1,0
G0020,Equation,Equation,,Unknown,unknown,[Equation](https://attack.mitre.org/groups/G0020) is a sophisticated threat group that employs multiple remote access tools. The group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (Citation: Kaspersky Equation QA),4,3,0.030769231,1,8.8,8.8,1,0,1,0,0,0,0,0,0,0,0.48835758835758836,0,0.046666667,0.2581787941787942,1,0,1
G0021,Molerats,Molerats; Operation Molerats; Gaza Cybergang,,United States,unknown,"[Molerats](https://attack.mitre.org/groups/G0021) is an Arabic-speaking, politically-motivated threat group that has been operating since 2012. The group's victims have primarily been in the Middle East, Europe, and the United States.(Citation: DustySky)(Citation: DustySky2)(Citation: Kaspersky MoleRATs April 2019)(Citation: Cybereason Molerats Dec 2020)",16,9,0.12307692307692308,0,0,0,0,0,0,1077,1077,77,13.987012987012987,60,0.003605962,0.004729899,0.061538462,0.003943143,0,0.031557859,1,0,0
G0022,APT3,APT3; Gothic Panda; Pirpi; UPS Team; Buckeye; Threat Group-0110; TG-0110,State,China; Hong Kong,Government Facilities,"[APT3](https://attack.mitre.org/groups/G0022) is a China-based threat group that researchers have attributed to China's Ministry of State Security.(Citation: FireEye Clandestine Wolf)(Citation: Recorded Future APT3 May 2017) This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap.(Citation: FireEye Clandestine Wolf)(Citation: FireEye Operation Double Tap) As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.(Citation: Symantec Buckeye)",44,11,0.3384615384615385,5,9.4,9.8,5,0.8,1,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.657406445,0.009475277,0.23333333333333334,0.400598278,1,1,1
G0023,APT16,APT16,,China,unknown,[APT16](https://attack.mitre.org/groups/G0023) is a China-based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations. (Citation: FireEye EPS Awakens Part 2),1,1,0.007692308,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.003846154,0.009475277,0,0.003818132,1,0,0
G0024,Putter Panda,Putter Panda; APT2; MSUpdater,State,China,unknown,[Putter Panda](https://attack.mitre.org/groups/G0024) is a Chinese threat group that has been attributed to Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). (Citation: CrowdStrike Putter Panda),4,4,0.030769231,3,9.466666666666667,9.8,3,0.6666666666666666,1,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.5052494802494802,0.009475277,0.14,0.2965197955701786,1,0,1
G0025,APT17,APT17; Deputy Dog,,China,Defense Industrial Base; Government Facilities; Information Technology,"[APT17](https://attack.mitre.org/groups/G0025) is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations. (Citation: FireEye APT17)",2,1,0.015384615384615385,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.007692308,0.009475277,0,0.005741209,1,1,0
G0026,APT18,APT18; TG-0416; Dynamite Panda; Threat Group-0416,,Unknown,Critical Manufacturing; Government Facilities; Healthcare and Public Health; Information Technology; NGO,"[APT18](https://attack.mitre.org/groups/G0026) is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical. (Citation: Dell Lateral Movement)",12,7,0.092307692,1,9.8,9.8,1,1,1,0,0,0,0,0,0,0,0.544464657,0,0.046666667,0.2862323284823285,1,1,1
G0027,Threat Group-3390,Threat Group-3390; Earth Smilodon; TG-3390; Emissary Panda; BRONZE UNION; APT27; Iron Tiger; LuckyMouse; Linen Typhoon,,China,Critical Manufacturing; Defense Industrial Base; Energy; Government Facilities; Information Technology,"[Threat Group-3390](https://attack.mitre.org/groups/G0027) is a Chinese threat group that has extensively used strategic Web compromises to target victims.(Citation: Dell TG-3390) The group has been active since at least 2010 and has targeted organizations in the aerospace, government, defense, technology, energy, manufacturing and gambling/betting sectors.(Citation: SecureWorks BRONZE UNION June 2017)(Citation: Securelist LuckyMouse June 2018)(Citation: Trend Micro DRBControl February 2020)",57,13,0.43846153846153846,15,8.386666666666667,9.8,12,0.26666666666666666,0.8,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.6317307692307692,0.009475277,0.61,0.5007604400608231,1,1,1
G0028,Threat Group-1314,Threat Group-1314; TG-1314,,Unknown,unknown,[Threat Group-1314](https://attack.mitre.org/groups/G0028) is an unattributed threat group that has used compromised credentials to log into a victim's remote access infrastructure. (Citation: Dell TG-1314),4,6,0.030769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615384615385,0,0,0.007692308,1,0,0
G0029,Scarlet Mimic,Scarlet Mimic,Nonstate Hactivist,China,Government Facilities; NGO,"[Scarlet Mimic](https://attack.mitre.org/groups/G0029) is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group's motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by [Scarlet Mimic](https://attack.mitre.org/groups/G0029) and [Putter Panda](https://attack.mitre.org/groups/G0024), it has not been concluded that the groups are the same. (Citation: Scarlet Mimic Jan 2016)",1,1,0.007692308,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.003846154,0.009475277,0,0.003818132,1,1,0
G0030,Lotus Blossom,Lotus Blossom; DRAGONFISH; Spring Dragon; RADIUM; Raspberry Typhoon; Bilbug; Thrip,,Unknown,Government Facilities,"[Lotus Blossom](https://attack.mitre.org/groups/G0030) is a long-standing threat group largely targeting various entities in Asia since at least 2009. In addition to government and related targets, [Lotus Blossom](https://attack.mitre.org/groups/G0030) has also targeted entities such as digital certificate issuers.(Citation: Lotus Blossom Jun 2015)(Citation: Symantec Bilbug 2022)(Citation: Cisco LotusBlossom 2025)",21,10,0.16153846153846155,1,8.8,8.8,1,0,1,0,0,0,0,0,0,0,0.5537422037422037,0,0.046666667,0.2908711018711019,1,1,1
G0032,Lazarus Group,Lazarus Group; Labyrinth Chollima; HIDDEN COBRA; Guardians of Peace; ZINC; NICKEL ACADEMY; Diamond Sleet,State,North Korea,Financial Services; Transportation Systems,"[Lazarus Group](https://attack.mitre.org/groups/G0032) is a North Korean state-sponsored cyber threat group attributed to the Reconnaissance General Bureau (RGB). (Citation: US-CERT HIDDEN COBRA June 2017) (Citation: Treasury North Korean Cyber Groups September 2019) [Lazarus Group](https://attack.mitre.org/groups/G0032) has been active since at least 2009 and is reportedly responsible for the November 2014 destructive wiper attack on Sony Pictures Entertainment, identified by Novetta as part of Operation Blockbuster. Malware used by [Lazarus Group](https://attack.mitre.org/groups/G0032) correlates to other reported campaigns, including Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain.(Citation: Novetta Blockbuster)

North Korea’s cyber operations have shown a consistent pattern of adaptation, forming and reorganizing units as national priorities shift. These units frequently share personnel, infrastructure, malware, and tradecraft, making it difficult to attribute specific operations with high confidence. Public reporting often uses “Lazarus Group” as an umbrella term for multiple North Korean cyber operators conducting espionage, destructive attacks, and financially motivated campaigns.(Citation: Mandiant DPRK Laz Org Breakdown 2022)(Citation: Mandiant DPRK Groups 2023)(Citation: JPCert Blog Laz Subgroups 2025)

",93,15,0.7153846153846154,4,6.95,7.8,2,0,0.5,64,64,64,1,4,0.000214282,0.000338164,0.6587902806652807,0.000251446,0.12666666666666665,0.3674454296131889,1,1,1
G0033,Poseidon Group,Poseidon Group,,Unknown,Transportation Systems,[Poseidon Group](https://attack.mitre.org/groups/G0033) is a Portuguese-speaking threat group that has been active since at least 2005. The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the [Poseidon Group](https://attack.mitre.org/groups/G0033) as a security firm. (Citation: Kaspersky Poseidon Group),8,4,0.061538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030769231,0,0,0.015384615384615385,1,1,0
G0034,Sandworm Team,Sandworm Team; ELECTRUM; Telebots; IRON VIKING; BlackEnergy (Group); Quedagh; Voodoo Bear; IRIDIUM; Seashell Blizzard; FROZENBARENTS; APT44,State,Georgia; Russia; United Kingdom,Chemical; Defense Industrial Base; Energy; Government Facilities; Information Technology,"[Sandworm Team](https://attack.mitre.org/groups/G0034) is a destructive threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) Main Center for Special Technologies (GTsST) military unit 74455.(Citation: US District Court Indictment GRU Unit 74455 October 2020)(Citation: UK NCSC Olympic Attacks October 2020) This group has been active since at least 2009.(Citation: iSIGHT Sandworm 2014)(Citation: CrowdStrike VOODOO BEAR)(Citation: USDOJ Sandworm Feb 2020)(Citation: NCSC Sandworm Feb 2020)

In October 2020, the US indicted six GRU Unit 74455 officers associated with [Sandworm Team](https://attack.mitre.org/groups/G0034) for the following cyber operations: the 2015 and 2016 attacks against Ukrainian electrical companies and government organizations, the 2017 worldwide [NotPetya](https://attack.mitre.org/software/S0368) attack, targeting of the 2017 French presidential campaign, the 2018 [Olympic Destroyer](https://attack.mitre.org/software/S0365) attack against the Winter Olympic Games, the 2018 operation against the Organisation for the Prohibition of Chemical Weapons, and attacks against the country of Georgia in 2018 and 2019.(Citation: US District Court Indictment GRU Unit 74455 October 2020)(Citation: UK NCSC Olympic Attacks October 2020) Some of these were conducted with the assistance of GRU Unit 26165, which is also referred to as [APT28](https://attack.mitre.org/groups/G0007).(Citation: US District Court Indictment GRU Oct 2018)",79,14,0.6076923076923076,7,9.057142857142859,10,6,0.5714285714285714,0.8571428571428571,39560,39560,101,391.6831683168317,1716,0.13245299191085874,0.13245299191085874,0.7476202851202851,0.13245299191085874,0.2966666666666667,0.48930074094231435,1,1,1
G0035,Dragonfly,Dragonfly; TEMP.Isotope; DYMALLOY; Berserk Bear; TG-4192; Crouching Yeti; IRON LIBERTY; Energetic Bear; Ghost Blizzard; BROMINE,State,Russia; United Kingdom,Critical Manufacturing; Defense Industrial Base; Emergency Services; Government Facilities; Transportation Systems,"[Dragonfly](https://attack.mitre.org/groups/G0035) is a cyber espionage group that has been attributed to Russia's Federal Security Service (FSB) Center 16.(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022) Active since at least 2010, [Dragonfly](https://attack.mitre.org/groups/G0035) has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks.(Citation: Symantec Dragonfly)(Citation: Secureworks IRON LIBERTY July 2019)(Citation: Symantec Dragonfly Sept 2017)(Citation: Fortune Dragonfly 2.0 Sept 2017)(Citation: Gigamon Berserk Bear October 2021)(Citation: CISA AA20-296A Berserk Bear December 2020)(Citation: Symantec Dragonfly 2.0 October 2017)",56,13,0.4307692307692308,9,8.911111111111111,9.8,7,0.5555555555555556,0.7777777777777778,39560,39560,101,391.6831683168317,1716,0.13245299191085874,0.13245299191085874,0.6356173481173482,0.13245299191085874,0.36,0.45229927244084583,1,1,1
G0036,GCMAN,GCMAN,,Unknown,Financial Services,[GCMAN](https://attack.mitre.org/groups/G0036) is a threat group that focuses on targeting banks for the purpose of transferring money to e-currency services. (Citation: Securelist GCMAN),2,1,0.015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0,0,0.003846154,1,1,0
G0037,FIN6,FIN6; Magecart Group 6; ITG08; Skeleton Spider; TAAL; Camouflage Tempest,,Unknown,Commercial Facilities; Emergency Services; Financial Services; Healthcare and Public Health,[FIN6](https://attack.mitre.org/groups/G0037) is a cyber crime group that has stolen payment card data and sold it for profit on underground marketplaces. This group has aggressively targeted and compromised point of sale (PoS) systems in the hospitality and retail sectors.(Citation: FireEye FIN6 April 2016)(Citation: FireEye FIN6 Apr 2019),40,13,0.3076923076923077,3,7.8,7.8,3,0,1,0,0,0,0,0,0,0,0.6014812889812889,0,0.14,0.34274064449064445,1,1,1
G0038,Stealth Falcon,Stealth Falcon,Nonstate Hactivist,United Arab Emirates,Government Facilities; Media; NGO,"[Stealth Falcon](https://attack.mitre.org/groups/G0038) is a threat group that has conducted targeted spyware attacks against Emirati journalists, activists, and dissidents since at least 2012. Circumstantial evidence suggests there could be a link between this group and the United Arab Emirates (UAE) government, but that has not been confirmed. (Citation: Citizen Lab Stealth Falcon May 2016)",16,8,0.12307692307692308,0,0,0,0,0,0,130,130,69,1.8840579710144927,84,0.00043526,0.00063712,0.061538462,0.000495818,0,0.030868394371122973,1,1,0
